.i 83
1---1-----011------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
1----0--0-0-1------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
1---1---0-0-1------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
1----0---10-1------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
1---1----10-1------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
1-1-------011------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
----------------------------------------10000-------------------------------------- 0000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000
1-1-----0-0-1------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
1-1------10-1------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
----------------10000-------------------------------------------------------------- 0000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000
-------0111-1---------------------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
------1-0110----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000
------0--1101---------------------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
1---------------1000--------------------------------------------------------------- 0010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1-----0-10-0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000
1------------1---10-0-------------------------------------------------------------- 0000000000000010000000000000000000000000000000100000100000000000000000000000000000000000000000
1--------------1100---------------------------------------------------------------- 0000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000
1-------------11--0-0-------------------------------------------------------------- 0000000000000010000000000000000000000000000000100000100000000000000000000000000000000000000000
-------------0--1-0-0-------------------------------------------------------------- 0000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000
1---------------010-0-------------------------------------------------------------- 0000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000
1--------------0000---------------------------------------------------------------- 0000010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000
1------------000--1---------------------------------------------------------------- 0000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000
-------1-1001---------------------------------------------------------------------- 0000000000000001000000000000000010100000000000001000000000000000000000000000000000000000100000
1------------0---01-0-------------------------------------------------------------- 0000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
1------1--11----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000
---------------------------------------------------1001---------------------------- 0000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000
---------------------------------------------------1110---------------------------- 0000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000
1-----1---11----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000
-----------------------------------------1000-------------------------------------- 0000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000
-------------1---11-0-------------------------------------------------------------- 0000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000
---------0111---------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000
--------1-111---------------------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
------11-1-0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000
-------1--111---------------------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
------0---011---------------------------------------------------------------------- 0000000000000001000000000000000010100000000000000000000000000000000000000000000000000000000000
1------01-1------------------------------------------------------------------------ 0000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000
--------000-1---------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000
------1---111---------------------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
------1--00-1---------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000
1------------01--1----------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000
1------------1---11---------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000
1-----0--11------------------------------------------------------------------------ 0000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000
1---------------010---------------------------------------------------------------- 0000010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000
1--------------1-11---------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000
1---------------111---------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000000
1--------010----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000
1--------------1-01---------------------------------------------------------------- 0000010000000000010000100000010000000000000000000000000000000010000000000000000000000000000000
---------------------101----------------------------------------------------------- 0000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000
---------------------011----------------------------------------------------------- 0000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000
----------------------------------------------------------------------1-0-0-------- 0000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000
----------------------------------------------------------------------10--0-------- 0000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000
----------------------------------------------------------------------1-00--------- 0000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000
----------------------------------------------------------------------10-0--------- 0000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000
----------------------------------------------------------------------100---------- 0000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000
---------------------000----------------------------------------------------------- 0000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000
---------------------11-1---------------------------------------------------------- 0000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000
---------------------110----------------------------------------------------------- 0000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000
---------------------11-0---------------------------------------------------------- 0000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000
---------------------00-0---------------------------------------------------------- 0000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000
---------------------10-1---------------------------------------------------------- 0000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000
---------------------001----------------------------------------------------------- 0000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000
---------------------01-1---------------------------------------------------------- 0000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000
0------------------00-------------------------------------------------------------- 0001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000
0-----------------0-0-------------------------------------------------------------- 0000000000000000000010000000000000010000000000100000000000000000000000000000000000000000000000
------------------------------------------100-------------------------------------- 0000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000
------------------000-------------------------------------------------------------- 0001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
-----------------0-00-------------------------------------------------------------- 0001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
-------------0--0-0---------------------------------------------------------------- 0000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
----------011---------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000
1---------------0------------------------------------------------1----------------- 0000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
1-----------------0----------------------------------------------1----------------- 0000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
1----------------0-----------------------------------------------1----------------- 0000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
1--------------0----0-------------------------------------------------------------- 0000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000
1----------------00---------------------------------------------------------------- 0000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000
-------------------------------------------10-------------------------------------- 0000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000
0-------------------0-------------------------------------------------------------- 0000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000
----------------01----------------------------------------------------------------- 0000000000000000000000100000000000000000000000000000000000000000000000000000000001000000000000
-----------------0--0-------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000
-----------00---------------------------------------------------------------------- 0000000000000000000000000000000010100000000000010000000000000000000000000000000000000000100000
------------------1-0-------------------------------------------------------------- 0000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000
1--------------------------0------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000
1-------------------------1-------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000
1------------------------0--------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000
1-----------0---------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000
---------------------0------------------------------------------------------------- 0000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000
------------------------------------------------------------------1---------------- 0000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000
---------------------------------------------------------------------1------------- 0000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000
--------------------------------------------------------------------0-------------- 0000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000
-------------------------------------------------------------------1--------------- 0000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000
-------------------1--------------------------------------------------------------- 0000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0---------------------------------------------------------------------------------- 1100010000000000010000100000000000000000000000000000000000000110000000000000000001000000000000
------------------0---------------------------------------------------------------- 0000000000000000010000100000000000000000000000000000000000000010000000000000000001000000000000
.e
